groupby,metoda,iloscDanych,czas[ms]
id,dfthreads,1000000,618
id,df,1000000,1041
id,dfthreads,1000000,654
id,df,1000000,1039
id,dfthreads,1000000,669
id,df,1000000,1037
id,dfthreads,1000000,648
id,df,1000000,1024
id,dfthreads,1000000,605
id,df,1000000,1191
id,dfthreads,1000000,638
id,df,1000000,1047
id,dfthreads,1000000,666
id,df,1000000,1023
id,dfthreads,1000000,624
id,df,1000000,1010
id,dfthreads,1000000,683
id,df,1000000,1048
id,dfthreads,1000000,659
id,df,1000000,1037
id,dfthreads,1000000,665
id,df,1000000,1034
id,dfthreads,1000000,648
id,df,1000000,998
id,dfthreads,1000000,633
id,df,1000000,1009
id,dfthreads,1000000,669
id,df,1000000,1049
id,dfthreads,1000000,622
id,df,1000000,1012
id,dfthreads,1000000,614
id,df,1000000,1025
id,dfthreads,1000000,659
id,df,1000000,1042
id,dfthreads,1000000,652
id,df,1000000,1065
id,dfthreads,1000000,644
id,df,1000000,1030
id,dfthreads,1000000,607
id,df,1000000,1002
id,dfthreads,1000000,639
id,df,1000000,1061
id,dfthreads,1000000,646
id,df,1000000,1035
id,dfthreads,1000000,617
id,df,1000000,1036
id,dfthreads,1000000,652
id,df,1000000,1059
id,dfthreads,1000000,650
id,df,1000000,1042
id,dfthreads,1000000,666
id-date,df,1000000,1802
id-date,dfthreads,1000000,1294
id-date,df,1000000,1597
id-date,dfthreads,1000000,1268
id-date,df,1000000,1601
id-date,dfthreads,1000000,1220
id-date,df,1000000,1601
id-date,dfthreads,1000000,1243
id-date,df,1000000,1597
id-date,dfthreads,1000000,1247
id-date,df,1000000,1610
id-date,dfthreads,1000000,1243
id-date,df,1000000,1627
id-date,dfthreads,1000000,1215
id-date,df,1000000,1572
id-date,dfthreads,1000000,1187
id-date,df,1000000,1562
id-date,dfthreads,1000000,1185
id-date,df,1000000,1573
id-date,dfthreads,1000000,1200
id-date,df,1000000,1562
id-date,dfthreads,1000000,1184
id-date,df,1000000,1603
id-date,dfthreads,1000000,1190
id-date,df,1000000,1578
id-date,dfthreads,1000000,1181
id-date,df,1000000,1580
id-date,dfthreads,1000000,1185
id-date,df,1000000,1557
id-date,dfthreads,1000000,1176
id-date,df,1000000,1570
id-date,dfthreads,1000000,1185
id-date,df,1000000,1564
id-date,dfthreads,1000000,1167
id-date,df,1000000,1579
id-date,dfthreads,1000000,1176
id-date,df,1000000,1558
id-date,dfthreads,1000000,1175
id-date,df,1000000,1574
id-date,dfthreads,1000000,1193
id-date,df,1000000,1566
id-date,dfthreads,1000000,1215
id-date,df,1000000,1574
id-date,dfthreads,1000000,1194
id-date,df,1000000,1562
id-date,dfthreads,1000000,1183
id-date,df,1000000,1569
id-date,dfthreads,1000000,1199
id-date,df,1000000,1579
id-date,dfthreads,1000000,1188
id-date,df,1000000,1585
id-date,dfthreads,1000000,1190
id-date,df,1000000,1575
id-date,dfthreads,1000000,1191
id-date,df,1000000,1587
id-date,dfthreads,1000000,1191
id-date,df,1000000,1570
id-date,dfthreads,1000000,1192
id-date,df,1000000,1580
id-date,dfthreads,1000000,1187
id,df,1000000,1648
id,dfthreads,1000000,771
id,df,1000000,1337
id,dfthreads,1000000,680
id,df,1000000,1060
id,dfthreads,1000000,720
id,df,1000000,1069
id,dfthreads,1000000,729
id,df,1000000,1054
id,dfthreads,1000000,678
id,df,1000000,1039
id,dfthreads,1000000,594
id,df,1000000,1066
id,dfthreads,1000000,683
id,df,1000000,1039
id,dfthreads,1000000,665
id,df,1000000,1047
id,dfthreads,1000000,638
id,df,1000000,1051
id,dfthreads,1000000,643
id,df,1000000,1057
id,dfthreads,1000000,649
id,df,1000000,1018
id,dfthreads,1000000,656
id,df,1000000,1051
id,dfthreads,1000000,658
id,df,1000000,1058
id,dfthreads,1000000,663
id,df,1000000,988
id,dfthreads,1000000,641
id,df,1000000,1050
id,dfthreads,1000000,672
id,df,1000000,1057
id,dfthreads,1000000,628
id,df,1000000,1006
id,dfthreads,1000000,625
id,df,1000000,1057
id,dfthreads,1000000,657
id,df,1000000,1066
id,dfthreads,1000000,633
id,df,1000000,1025
id,dfthreads,1000000,652
id,df,1000000,1045
id,dfthreads,1000000,675
id,df,1000000,1064
id,dfthreads,1000000,634
id,df,1000000,1011
id,dfthreads,1000000,653
id,df,1000000,1046
id,dfthreads,1000000,647
id,df,1000000,1060
id,dfthreads,1000000,613
id,df,1000000,1016
id,dfthreads,1000000,650
id,df,1000000,1050
id,dfthreads,1000000,665
id,df,1000000,1050
id,dfthreads,1000000,604
id,df,1000000,1023
id,dfthreads,1000000,661
id,df,1000000,1037
id,dfthreads,1000000,672
id,df,1000000,1054
id,dfthreads,1000000,634
id,df,1000000,1037
id,dfthreads,1000000,652
id,df,1000000,1050
id,dfthreads,1000000,657
id,df,1000000,1037
id,dfthreads,1000000,615
id,df,1000000,1040
id,dfthreads,1000000,652
id,df,1000000,1057
id,dfthreads,1000000,663
id,df,1000000,1015
id,dfthreads,1000000,615
id,df,1000000,1049
id,dfthreads,1000000,658
id,df,1000000,1057
id,dfthreads,1000000,658
id,df,1000000,1004
id,dfthreads,1000000,629
id,df,1000000,1054
id,dfthreads,1000000,667
id,df,1000000,1056
id,dfthreads,1000000,654
id,df,1000000,1029
id,dfthreads,1000000,652
id,df,1000000,1046
id,dfthreads,1000000,649
id,df,1000000,1074
id,dfthreads,1000000,640
id,df,1000000,1170
id,dfthreads,1000000,679
id,df,1000000,1039
id,dfthreads,1000000,654
id,df,1000000,1045
id,dfthreads,1000000,608
id,df,1000000,1034
id,dfthreads,1000000,674
id,df,1000000,1045
id,dfthreads,1000000,652
id,df,1000000,1036
id,dfthreads,1000000,648
id,df,1000000,1042
id,dfthreads,1000000,647
id,df,1000000,1054
id,dfthreads,1000000,677
id,df,1000000,1038
id,dfthreads,1000000,625
id,df,1000000,1057
id,dfthreads,1000000,665
id,df,1000000,1047
id,dfthreads,1000000,679
id,df,1000000,1015
id,dfthreads,1000000,620
id,df,1000000,1047
id,dfthreads,1000000,666
id,df,1000000,1053
id,dfthreads,1000000,674
id,df,1000000,1022
id,dfthreads,1000000,637
id,df,1000000,1058
id,dfthreads,1000000,661
id,df,1000000,1060
id,dfthreads,1000000,624
id,df,1000000,1006
id,dfthreads,1000000,619
id,df,1000000,1034
id,dfthreads,1000000,667
id,df,1000000,1060
id,dfthreads,1000000,618
id,df,1000000,1028
id,dfthreads,1000000,672
id,df,1000000,1053
id,dfthreads,1000000,663
id,df,1000000,1067
id,dfthreads,1000000,623
id,df,1000000,1015
id,dfthreads,1000000,654
id-date,df,1000000,1903
id-date,dfthreads,1000000,1296
id-date,df,1000000,1661
id-date,dfthreads,1000000,1227
id-date,df,1000000,1651
id-date,dfthreads,1000000,1218
id-date,df,1000000,1649
id-date,dfthreads,1000000,1241
id-date,df,1000000,1768
id-date,dfthreads,1000000,1279
id-date,df,1000000,1666
id-date,dfthreads,1000000,1223
id-date,df,1000000,1602
id-date,dfthreads,1000000,1212
id-date,df,1000000,1618
id-date,dfthreads,1000000,1208
id-date,df,1000000,1617
id-date,dfthreads,1000000,1199
id-date,df,1000000,1613
id-date,dfthreads,1000000,1203
id-date,df,1000000,1604
id-date,dfthreads,1000000,1212
id-date,df,1000000,1610
id-date,dfthreads,1000000,1221
id-date,df,1000000,1620
id-date,dfthreads,1000000,1212
id-date,df,1000000,1628
id-date,dfthreads,1000000,1216
id-date,df,1000000,1622
id-date,dfthreads,1000000,1210
id-date,df,1000000,1630
id-date,dfthreads,1000000,1212
id-date,df,1000000,1619
id-date,dfthreads,1000000,1237
id-date,df,1000000,1620
id-date,dfthreads,1000000,1214
id-date,df,1000000,1601
id-date,dfthreads,1000000,1224
id-date,df,1000000,1605
id-date,dfthreads,1000000,1213
id-date,df,1000000,1599
id-date,dfthreads,1000000,1213
id-date,df,1000000,1631
id-date,dfthreads,1000000,1211
id-date,df,1000000,1614
id-date,dfthreads,1000000,1208
id-date,df,1000000,1625
id-date,dfthreads,1000000,1203
id-date,df,1000000,1623
id-date,dfthreads,1000000,1215
id-date,df,1000000,1614
id-date,dfthreads,1000000,1230
id-date,df,1000000,1598
id-date,dfthreads,1000000,1208
id-date,df,1000000,1618
id-date,dfthreads,1000000,1211
id-date,df,1000000,1622
id-date,dfthreads,1000000,1197
id-date,df,1000000,1617
id-date,dfthreads,1000000,1203
id-date,df,1000000,1619
id-date,dfthreads,1000000,1190
id-date,df,1000000,1607
id-date,dfthreads,1000000,1224
id-date,df,1000000,1617
id-date,dfthreads,1000000,1212
id-date,df,1000000,1610
id-date,dfthreads,1000000,1213
id-date,df,1000000,1614
id-date,dfthreads,1000000,1216
id-date,df,1000000,1606
id-date,dfthreads,1000000,1208
id-date,df,1000000,1611
id-date,dfthreads,1000000,1203
id-date,df,1000000,1616
id-date,dfthreads,1000000,1193
id-date,df,1000000,1648
id-date,dfthreads,1000000,1252
id-date,df,1000000,1640
id-date,dfthreads,1000000,1225
id-date,df,1000000,1614
id-date,dfthreads,1000000,1206
id-date,df,1000000,1603
id-date,dfthreads,1000000,1289
id-date,df,1000000,1623
id-date,dfthreads,1000000,1207
id-date,df,1000000,1612
id-date,dfthreads,1000000,1236
id-date,df,1000000,1613
id-date,dfthreads,1000000,1198
id-date,df,1000000,1614
id-date,dfthreads,1000000,1214
id-date,df,1000000,1607
id-date,dfthreads,1000000,1209
id-date,df,1000000,1596
id-date,dfthreads,1000000,1217
id-date,df,1000000,1624
id-date,dfthreads,1000000,1240
id-date,df,1000000,1612
id-date,dfthreads,1000000,1204
id-date,df,1000000,1616
id-date,dfthreads,1000000,1207
id-date,df,1000000,1618
id-date,dfthreads,1000000,1203
id-date,df,1000000,1626
id-date,dfthreads,1000000,1230
id-date,df,1000000,1613
id-date,dfthreads,1000000,1223
id-date,df,1000000,1616
id-date,dfthreads,1000000,1209
id-date,df,1000000,1609
id-date,dfthreads,1000000,1251
id-date,df,1000000,1630
id-date,dfthreads,1000000,1209
id-date,df,1000000,1620
id-date,dfthreads,1000000,1224
id-date,df,1000000,1626
id-date,dfthreads,1000000,1218
id-date,df,1000000,1615
id-date,dfthreads,1000000,1227
id-date,df,1000000,1615
id-date,dfthreads,1000000,1208
id-date,df,1000000,1602
id-date,dfthreads,1000000,1219
id-date,df,1000000,1602
id-date,dfthreads,1000000,1213
id-date,df,1000000,1622
id-date,dfthreads,1000000,1212
id-date,df,1000000,1607
id-date,dfthreads,1000000,1209
id-date,df,1000000,1617
id-date,dfthreads,1000000,1210
id-date,df,1000000,1613
id-date,dfthreads,1000000,1231
id-date,df,1000000,1605
id-date,dfthreads,1000000,1214
id-date,df,1000000,1601
id-date,dfthreads,1000000,1206
id-date,df,1000000,1611
id-date,dfthreads,1000000,1209
id-date,dfdb,7000,177
id-date,dfdb,7000,82
id-date,dfdb,7000,59
id-date,dfdb,7000,216
id-date,dfdb,7000,136
id-date,dfdb,7000,89
id-date,dfdb,7000,66
id-date,dfdb,7000,52
id-date,dfdb,7000,51
id-date,dfdb,7000,67
id-date,dfdb,7000,79
id-date,dfdb,7000,78
id-date,dfdb,7000,76
id-date,dfdb,7000,73
id-date,dfdb,7000,63
id-date,dfdb,7000,51
id-date,dfdb,7000,130
id-date,dfdb,7000,133
id-date,dfdb,7000,114
id-date,dfdb,7000,180
id-date,dfdb,7000,130
id-date,dfdb,7000,114
id-date,dfdb,7000,118
id-date,dfdb,7000,63
id-date,dfdb,7000,64
id-date,dfdb,7000,65
id-date,dfdb,7000,53
id-date,dfdb,7000,53
id-date,dfdb,7000,53
id-date,dfdb,7000,58
id-date,dfdb,7000,145
id-date,dfdb,7000,62
id-date,dfdb,7000,59
id-date,dfdb,7000,54
id-date,dfdb,7000,125
id-date,dfdb,7000,123
id-date,dfdb,7000,139
id-date,dfdb,7000,134
id-date,dfdb,7000,64
id-date,dfdb,7000,55
id-date,dfdb,7000,106
id-date,dfdb,7000,68
id-date,dfdb,7000,57
id-date,dfdb,7000,144
id-date,dfdb,7000,77
id-date,dfdb,7000,64
id-date,dfdb,7000,54
id-date,dfdb,7000,69
id-date,dfdb,7000,95
id-date,dfdb,7000,59
id-date,dfdb,7000,64
id-date,dfdb,7000,67
id-date,dfdb,7000,66
id-date,dfdb,7000,52
id-date,dfdb,7000,53
id-date,dfdb,7000,55
id-date,dfdb,7000,56
id-date,dfdb,7000,58
id-date,dfdb,7000,60
id-date,dfdb,7000,67
id-date,dfdb,7000,131
id-date,dfdb,7000,64
id-date,dfdb,7000,56
id-date,dfdb,7000,75
id-date,dfdb,7000,72
id-date,dfdb,7000,74
id-date,dfdb,7000,91
id-date,dfdb,7000,91
id-date,dfdb,7000,62
id-date,dfdb,7000,53
id,dfdb,7000,11
id,dfdb,7000,11
id,dfdb,7000,11
id,dfdb,7000,21
id,dfdb,7000,8
id,dfdb,7000,6
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,6
id,dfdb,7000,5
id,dfdb,7000,6
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,6
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,7
id,dfdb,7000,5
id,dfdb,7000,6
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,6
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,10
id,dfdb,7000,6
id,dfdb,7000,5
id,dfdb,7000,6
id,dfdb,7000,5
id,dfdb,7000,6
id,dfdb,7000,9
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,5
id,dfdb,7000,6
id,dfdb,7000,6
id,dfdb,7000,7
id,dfdb,7000,8
id,dfdb,7000,13
id,dfdb,7000,24
id,dfdb,7000,9
id,dfdb,7000,7
id,dfdb,7000,6
id,dfdb,7000,6
id,dfdb,7000,7
id,dfdb,7000,5
id,dfdb,7000,6
id,dfdb,7000,6
id,dfdb,7000,6
id,dfdb,7000,6
id,dfdb,7000,6
id,dfdb,7000,10
id,dfdb,7000,10
id,dfdb,7000,7
id,dfdb,7000,6
id,df,7000,262
id,df,7000,147
id,df,7000,40
id,df,7000,23
id,df,7000,33
id,df,7000,225
id,df,7000,236
id,df,7000,98
id,df,7000,178
id,df,7000,56
id,df,7000,87
id,df,7000,33
id,df,7000,19
id,df,7000,18
id,df,7000,34
id,df,7000,25
id,df,7000,60
id,df,7000,36
id,df,7000,21
id,df,7000,22
id,df,7000,14
id,df,7000,25
id,df,7000,20
id,df,7000,19
id,df,7000,21
id,df,7000,13
id,df,7000,16
id,df,7000,13
id,df,7000,20
id,df,7000,10
id,df,7000,9
id,df,7000,9
id,df,7000,9
id,df,7000,9
id,df,7000,12
id,df,7000,15
id,df,7000,11
id,df,7000,13
id,df,7000,39
id,df,7000,19
id,df,7000,19
id,df,7000,8
id,df,7000,9
id,df,7000,8
id,df,7000,9
id,df,7000,10
id,df,7000,8
id,df,7000,9
