groupby,metoda,czas[ms]
        id,dfthreads,10
        id,dfthreads,10
        id,dfthreads,12
        id,dfthreads,12
        id,dfthreads,11
        id,dfthreads,9
        id,dfthreads,16
        id,dfthreads,9
        id,dfthreads,8
        id,dfthreads,9
        id,dfthreads,10
        id,dfthreads,10
        id,dfthreads,12
        id,dfthreads,11
        id,dfthreads,21
        id,dfthreads,11
        id,dfthreads,10
        id,dfthreads,21
        id,dfthreads,18
        id,dfthreads,14
        id,dfthreads,16
        id,dfthreads,12
        id,dfthreads,11
        id,dfthreads,13
        id,dfthreads,10
        id,dfthreads,9
        id,dfthreads,12
        id,dfthreads,9
        id,dfthreads,11
        id,dfthreads,18
        id,dfthreads,11
        id,dfthreads,11
        id,dfthreads,11
        id,dfthreads,11
        id,dfthreads,9
        id,dfthreads,9
        id,dfthreads,10
        id,dfthreads,10
        id,dfthreads,10
        id,dfthreads,11
        id,dfthreads,14
        id,dfthreads,9
        id,dfthreads,16
        id,dfthreads,9
        id,dfthreads,8
        id,dfthreads,8
        id,dfthreads,10
        id,dfthreads,15
        id,dfthreads,19
        id,dfthreads,23
        id,dfthreads,13
        id,dfthreads,12
        id,dfthreads,10
        id,dfthreads,10
        id,dfthreads,10
        id,dfthreads,19
        id,dfthreads,14
        id,dfthreads,13
        id,dfthreads,12
        id,dfthreads,10
        id,dfthreads,10
        id,dfthreads,9
        id,dfthreads,11
        id,dfthreads,11
        id,dfthreads,14
        id,dfthreads,15
        id,dfthreads,11
        id,dfthreads,10
        id,dfthreads,18
        id,dfthreads,21
        id,dfthreads,80
        id,dfthreads,125
        id,dfthreads,32
        id,dfthreads,31
        id,dfthreads,27
        id,dfthreads,45
        id,dfthreads,16
        id,dfthreads,23
        id,dfthreads,24
        id,dfthreads,15
        id,dfthreads,10
        id,dfthreads,9
        id,dfthreads,9
        id,dfthreads,10
        id,dfthreads,17
        id,dfthreads,10
        id,dfthreads,11
        id,dfthreads,13
        id,dfthreads,9
        id,dfthreads,10
        id,dfthreads,11
        id,dfthreads,52
        id,dfthreads,20
        id,dfthreads,21
        id,dfthreads,17
        id,dfthreads,13
        id,dfthreads,17
        id,dfthreads,12
        id,dfthreads,11
        id,dfthreads,15
        id,dfthreads,32
        id,dfthreads,12
        id,dfthreads,12
        id,dfthreads,10
        id,dfthreads,11
        id,dfthreads,10
        id,dfthreads,15
        id,dfthreads,27
        id,dfthreads,37
        id,dfthreads,12
        id,dfthreads,15
        id,dfthreads,30
        id,dfthreads,12
        id,dfthreads,12
        id,dfthreads,23
        id,dfthreads,125
        id,dfthreads,15
        id,dfthreads,16
        id,dfthreads,18
        id,dfthreads,25
        id,dfthreads,12
        id,dfthreads,16
        id,dfthreads,38
        id,dfthreads,23
        id,dfthreads,12
        id,dfthreads,12
        id,dfthreads,8
        id,dfthreads,9
        id,dfthreads,9
        id,dfthreads,8
        id,dfthreads,15
        id,dfthreads,8
        id,dfthreads,9
        id,dfthreads,9
        id,dfthreads,9
        id,dfthreads,8
        id,dfthreads,7
        id,dfthreads,7
        id,dfthreads,7
        id,dfthreads,7
        id,dfthreads,7
        id,dfthreads,7
        id,dfthreads,17
        id,dfthreads,7
        id,dfthreads,9
        id,dfthreads,8
        id,dfthreads,14
        id,dfthreads,8
        id,dfthreads,8
        id,dfthreads,7
        id,dfthreads,8
        id,dfthreads,7
        id,dfthreads,7
        id,dfthreads,7
        id,dfthreads,7
        id,dfthreads,6
        id,dfthreads,7
        id,dfthreads,7
        id,dfthreads,7
        id,dfthreads,7
        id,dfthreads,7
        id,dfthreads,7
        id,dfthreads,7
        id,dfthreads,8
        id,dfthreads,7
        id,dfthreads,7
        id,dfthreads,14
        id,dfthreads,6
        id,dfthreads,7
        id,dfthreads,7
        id,dfthreads,6
        id,dfthreads,7
        id,dfthreads,6
        id,dfthreads,6
        id,dfthreads,6
        id,dfthreads,6
        id,dfthreads,6
